"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@EvergladesNPS Thanks for educational thread! 😃

Also learned a lot about bats 🦇 &amp; the Wetlands 🌊 of the world 🌍 fr… https://t.co/mP11u0qCcR",FALSE,1,"EvergladesNPS",2021-10-27 22:45:48,TRUE,"1453401678934315008","1453493161230315521","63966574","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MangroveTracker",1,FALSE,FALSE,NA,NA
"2","Catch up on all the presentations and keynotes from @globalwetlands Coastal Wetlands Twitter Conference through the… https://t.co/C6zzGgiYjp",FALSE,7,NA,2021-10-27 18:27:46,TRUE,NA,"1453428221521932298",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Mangroves",0,FALSE,FALSE,NA,NA
"3","@StacyScientist @NMNH @UBBZE @WWF_Belize @pewenvironment You can also find out more in the #BelizeBlueCarbon projec… https://t.co/ukDi4tewbN",FALSE,1,"StacyScientist",2021-10-27 13:24:41,TRUE,"1453351209625178113","1453351949340971011","3315907167","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","canty_steven",0,FALSE,FALSE,NA,NA
"4","🌱Glad to have been part of this wonderful conference! 🌊

#CWTC21 https://t.co/rUWkoYCEFO",FALSE,4,NA,2021-10-27 12:28:51,FALSE,NA,"1453337898820976640",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MangrovesNow",0,FALSE,FALSE,NA,NA
"5","The worlds biggest tropical wetland, Brazil’s Pantanal is STILL being ravaged by fires and deforestation for Europe… https://t.co/6Ip1OsLhnp",FALSE,3,NA,2021-10-27 11:48:40,TRUE,NA,"1453327788262440961",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CarmenDanae",0,FALSE,FALSE,NA,NA
"6","INSHALLAH WE WILL WIN.
#CWTC21 #PakvsAfg https://t.co/dR1inwUvJd",FALSE,1,NA,2021-10-27 11:30:10,FALSE,NA,"1453323129636458500",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EtsSaqib",1,FALSE,FALSE,NA,NA
"7","Huge thanks to everyone that participated, and especially @globalwetlands #scicomm Natasha Watson! Thanks to her… https://t.co/V0xgyOLvOc",FALSE,13,NA,2021-10-27 11:07:53,TRUE,NA,"1453317522854322188",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bluecology",0,FALSE,FALSE,NA,NA
"8","👏Thanks for joining us &amp; being part of #CWTC21! Our 40 presenters represented 13 countries talking #mangroves… https://t.co/neoHIr5zYW",FALSE,34,NA,2021-10-27 11:05:00,TRUE,NA,"1453316796900073475",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","globalwetlands",8,FALSE,FALSE,NA,NA
"9","The Dominican Republic has lost its largest freshwater lagoon to climate change, severe drought and poor management… https://t.co/8Kit7wZ5M0",FALSE,4,NA,2021-10-27 11:02:28,TRUE,NA,"1453316159575580678",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CarmenDanae",2,FALSE,FALSE,NA,NA
"10","Mangroves are sinks for carbon and plastics - we don't yet know how plastic pollution affects their #bluecarbon pot… https://t.co/OIScLTXN9J",FALSE,4,NA,2021-10-27 11:00:15,TRUE,NA,"1453315601884086275",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bluecology",0,FALSE,FALSE,NA,NA
"11","Join Carmen Danae Azor, Founder, Defensores Ambientales, with our final presentation for #CWTC21

Click here 👉… https://t.co/V4GnMopWE4",FALSE,6,NA,2021-10-27 11:00:00,TRUE,NA,"1453315538885623809",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","globalwetlands",0,FALSE,FALSE,NA,NA
"12","And that’s a wrap! #CWTC21 

What and incredible body of #coastal #wetland research

Scroll through and review your… https://t.co/MCrBj6Vzw4",FALSE,16,NA,2021-10-27 10:58:49,TRUE,NA,"1453315242964914179",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ChristinABuelow",3,FALSE,FALSE,NA,NA
"13","🔴 LIVE presentation #CWTC21
Welcome @AnushaRajkaran our keynote speaker presenting ""The impact of heavy metals and… https://t.co/6eNuFaBrxq",FALSE,16,NA,2021-10-27 10:50:00,TRUE,NA,"1453313021741133827",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","globalwetlands",6,FALSE,FALSE,NA,NA
"14","Mangrove Forests around the world are under imminent threat. They are turning into cesspits of fossil-fuel based so… https://t.co/SASM1gJOJd",FALSE,13,NA,2021-10-27 10:34:02,TRUE,NA,"1453309005934309379",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CarmenDanae",4,FALSE,FALSE,NA,NA
"15","Join Nathan Waltham, Research Scientist, James Cook University, presenting next at #CWTC21 

👉Click here:… https://t.co/PQISZpIIQL",FALSE,11,NA,2021-10-27 10:25:00,TRUE,NA,"1453306730331447300",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","globalwetlands",2,FALSE,FALSE,NA,NA
"16","Tech &amp; analytical challenges hinder us from applying this approach in real time &amp; to other species. Disciplines lik… https://t.co/JvtYZyVsix",FALSE,14,"CexyNature",2021-10-27 10:20:42,TRUE,"1453305627741196308","1453305649157259267","269543747","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CexyNature",4,FALSE,FALSE,NA,NA
"17","With this information we assessed the trait &amp; functional makeup of different crab species &amp; crab communities across… https://t.co/Rua1QMj6Dd",FALSE,12,"CexyNature",2021-10-27 10:20:37,TRUE,"1453305617226031108","1453305627741196308","269543747","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CexyNature",1,FALSE,FALSE,NA,NA
"18","New tech offer an exciting opportunity to assess organisms’ traits &amp; functional attributes. We employed semi-autono… https://t.co/kXzKf1Mx9y",FALSE,17,"CexyNature",2021-10-27 10:20:34,TRUE,"1453305573416505352","1453305617226031108","269543747","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CexyNature",3,FALSE,FALSE,NA,NA
"19","The problem is that measuring species traits &amp; functions is more difficult and more expensive than creating species… https://t.co/8t15xsSWt9",FALSE,9,"CexyNature",2021-10-27 10:20:24,TRUE,"1453305565590048779","1453305573416505352","269543747","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CexyNature",1,FALSE,FALSE,NA,NA
"20","Species diversity, their functional attributes &amp; traits underpins ecosystem functioning. However, we often assess e… https://t.co/PoEnCZEWrW",FALSE,45,NA,2021-10-27 10:20:22,TRUE,NA,"1453305565590048779",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CexyNature",12,FALSE,FALSE,NA,NA
"21","Join César Herrera, Research Fellow, Griffith University, presenting next at #CWTC21 

👉Click here: @CexyNature https://t.co/zISCzrn5nH",FALSE,6,NA,2021-10-27 10:15:00,FALSE,NA,"1453304213350477824",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","globalwetlands",1,FALSE,FALSE,NA,NA
"22","Global analyses often oversimplify nature and human impacts, but in this short video @SieversSci
 explains how we c… https://t.co/ln6MjergXz",FALSE,7,NA,2021-10-27 10:10:21,TRUE,NA,"1453303046168010752",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bluecology",4,FALSE,FALSE,NA,NA
"23","We are currently exploring the causes of the loss and gain in mangrove cover along with the governance of mangrove… https://t.co/t0ps3kJvA3",FALSE,7,"theehearty",2021-10-27 10:00:16,TRUE,"1453300502507266059","1453300506517020673","759073219638853632","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","theehearty",1,FALSE,FALSE,NA,NA
