"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","In the original they did let the 4400 go home and it was so depressing seeing them return to nothing 🥺 Lordt im so… https://t.co/82xclDk3m1",FALSE,0,NA,2021-10-26 02:05:46,TRUE,NA,"1452818705746903049",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LovelyMilian",0,FALSE,FALSE,NA,NA
"2","Looking forward to presenting at the coastal wetlands twitter conference #CWTC21 @globalwetlands #mangrove #マングローブ… https://t.co/6PBpVb89cf",FALSE,1,NA,2021-10-26 01:10:48,TRUE,NA,"1452804875599814662",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","haradaoceans",0,FALSE,FALSE,NA,NA
"3","RT @globalwetlands: 🚨One day to go! Join the Coastal Wetlands Twitter Conference &amp; like, comment, re-tweet with over 40 presenters. Check o…",FALSE,0,NA,2021-10-26 00:47:56,FALSE,NA,"1452799121811673092",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","charles_cadier",4,TRUE,FALSE,NA,NA
"4","RT @Mozziebites: I’m looking forward to sharing some perspectives on managing mosquito risks associated with coastal #wetlands at #CWTC21;…",FALSE,0,NA,2021-10-25 23:53:44,FALSE,NA,"1452785481414889473",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","globalwetlands",2,TRUE,FALSE,NA,NA
"5","RT @Mangroves: 📣Tomorrow!📣 

We are joining @globalwetlands #CWTC21 to present a new tool that tracks #mangroves restoration globally by wo…",FALSE,0,NA,2021-10-25 22:54:32,FALSE,NA,"1452770581364027409",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Ciencia_Bio_Ull",4,TRUE,FALSE,NA,NA
"6","RT @Mozziebites: I’m looking forward to sharing some perspectives on managing mosquito risks associated with coastal #wetlands at #CWTC21;…",FALSE,0,NA,2021-10-25 22:48:27,FALSE,NA,"1452769051709558787",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","_SOVE_",2,TRUE,FALSE,NA,NA
"7","RT @ArianaMags: I'm excited to be presenting some of my Masters research next week at the Coastal Wetlands Twitter Conference hosted by @gl…",FALSE,0,NA,2021-10-25 22:17:00,FALSE,NA,"1452761135166468099",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MangroveTracker",3,TRUE,FALSE,NA,NA
"8","RT @globalwetlands: Join @Mangroves on Tue 26 Oct at 9.30am BST / 18.30pm AEST, part of #CWTC21!",FALSE,0,NA,2021-10-25 22:13:09,FALSE,NA,"1452760168614088705",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AuraManglares",2,TRUE,FALSE,NA,NA
"9","I’m looking forward to sharing some perspectives on managing mosquito risks associated with coastal #wetlands at… https://t.co/jND1T3KXti",FALSE,7,NA,2021-10-25 22:11:26,TRUE,NA,"1452759733580931088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mozziebites",2,FALSE,FALSE,NA,NA
"10","RT @globalwetlands: How do I follow the Coastal Wetlands Twitter Conference? During #CWTC21 you can:
▶️Visit @globalwetlands where a Tweet…",FALSE,0,NA,2021-10-25 22:05:18,FALSE,NA,"1452758189913432066",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mozziebites",6,TRUE,FALSE,NA,NA
"11","RT @globalwetlands: Join @Mangroves on Tue 26 Oct at 9.30am BST / 18.30pm AEST, part of #CWTC21!",FALSE,0,NA,2021-10-25 22:04:04,FALSE,NA,"1452757879610609665",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ThinkDeepReef",2,TRUE,FALSE,NA,NA
"12","Join @Mangroves on Tue 26 Oct at 9.30am BST / 18.30pm AEST, part of #CWTC21! https://t.co/imQm5AgW03",FALSE,4,NA,2021-10-25 21:56:02,FALSE,NA,"1452755859033845761",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","globalwetlands",2,FALSE,FALSE,NA,NA
"13","RT @globalwetlands: One day to go until Session 2 #CWTC21! Hear about all things #mangroves #seagrass #saltmarsh at the Coastal Wetlands Tw…",FALSE,0,NA,2021-10-25 21:44:22,FALSE,NA,"1452752924799610880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JillbertPhD",1,TRUE,FALSE,NA,NA
"14","RT @SieversSci: Follow live on the GLOW Twitter page @globalwetlands  or by searching #CWTC21. Program: https://t.co/KUBCCM19pA https://t.c…",FALSE,0,NA,2021-10-25 21:35:25,FALSE,NA,"1452750670184943622",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","urbanfrogger",1,TRUE,FALSE,NA,NA
"15","RT @Mangroves: 📣Tomorrow!📣 

We are joining @globalwetlands #CWTC21 to present a new tool that tracks #mangroves restoration globally by wo…",FALSE,0,NA,2021-10-25 21:10:59,FALSE,NA,"1452744522065190922",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ThinkDeepReef",4,TRUE,FALSE,NA,NA
"16","RT @Mangroves: 📣Tomorrow!📣 

We are joining @globalwetlands #CWTC21 to present a new tool that tracks #mangroves restoration globally by wo…",FALSE,0,NA,2021-10-25 21:04:12,FALSE,NA,"1452742816933851137",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","T_A_Worthington",4,TRUE,FALSE,NA,NA
"17","RT @globalwetlands: 🚨One day to go! Join the Coastal Wetlands Twitter Conference &amp; like, comment, re-tweet with over 40 presenters. Check o…",FALSE,0,NA,2021-10-25 21:00:30,FALSE,NA,"1452741885441703938",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Antarcticmoss",4,TRUE,FALSE,NA,NA
"18","RT @Mangroves: 📣Tomorrow!📣 

We are joining @globalwetlands #CWTC21 to present a new tool that tracks #mangroves restoration globally by wo…",FALSE,0,NA,2021-10-25 20:46:11,FALSE,NA,"1452738281158942730",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MJCrispino",4,TRUE,FALSE,NA,NA
"19","Follow live on the GLOW Twitter page @globalwetlands  or by searching #CWTC21. Program: https://t.co/KUBCCM19pA https://t.co/JrkaWU3wMc",FALSE,3,NA,2021-10-25 20:44:12,FALSE,NA,"1452737784226091009",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SieversSci",1,FALSE,FALSE,NA,NA
"20","📣Tomorrow!📣 

We are joining @globalwetlands #CWTC21 to present a new tool that tracks #mangroves restoration globa… https://t.co/cCv3AIU3en",FALSE,16,NA,2021-10-25 20:43:06,TRUE,NA,"1452737506856873990",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Mangroves",4,FALSE,FALSE,NA,NA
"21","RT @ResearchLina: Twitter conference on Coastal Wetlands coming up 26/10 &amp; 27/10. Follow live on Global Wetlands Twitter page: @globalwetla…",FALSE,0,NA,2021-10-25 20:25:42,FALSE,NA,"1452733127512657921",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","globalwetlands",3,TRUE,FALSE,NA,NA
"22","One day to go until Session 2 #CWTC21! Hear about all things #mangroves #seagrass #saltmarsh at the Coastal Wetland… https://t.co/yDS5WNheRA",FALSE,3,NA,2021-10-25 20:00:01,TRUE,NA,"1452726662227968003",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","globalwetlands",1,FALSE,FALSE,NA,NA
"23","RT @ResearchLina: Twitter conference on Coastal Wetlands coming up 26/10 &amp; 27/10. Follow live on Global Wetlands Twitter page: @globalwetla…",FALSE,0,NA,2021-10-25 19:26:09,FALSE,NA,"1452718139876204554",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","drray_marine",3,TRUE,FALSE,NA,NA
"24","RT @globalwetlands: How do I follow the Coastal Wetlands Twitter Conference? During #CWTC21 you can:
▶️Visit @globalwetlands where a Tweet…",FALSE,0,NA,2021-10-25 18:38:18,FALSE,NA,"1452706097404469256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","canty_steven",6,TRUE,FALSE,NA,NA
