"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"18","RT @MarshDispatch: In Gulf of Mexico coastal wetlands, warmer winter temps = more black #mangroves (Avicennia germinans). So what happened…",FALSE,0,NA,2021-10-27 20:42:04,FALSE,NA,"1453462020850733057",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","hmorzaria",14,TRUE,FALSE,NA,NA
"19","RT @ConnollyLab: Automation has disrupted other industries🚨 It’s coming late to #environmentalscience but now it’s here: 
https://t.co/hAZz…",FALSE,0,NA,2021-10-27 20:33:02,FALSE,NA,"1453459747672256514",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BMartin_sci",25,TRUE,FALSE,NA,NA
"20","RT @jamesthetyke: Coastal managed realignment is the deliberate process of realigning an estuary and/or coastal defences. It creates space…",FALSE,0,NA,2021-10-27 20:31:19,FALSE,NA,"1453459314212020232",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","petersketch",24,TRUE,FALSE,NA,NA
"21","RT @jamesthetyke: Coastal managed realignment is the deliberate process of realigning an estuary and/or coastal defences. It creates space…",FALSE,0,NA,2021-10-27 20:22:02,FALSE,NA,"1453456981566578690",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WildlifePete",24,TRUE,FALSE,NA,NA
"22","RT @ArianaMags: #CWTC21 1/5 My research in 5 tweets!
Given mounting evidence that #naturebasedsolutions achieve synergies for #climatechang…",FALSE,0,NA,2021-10-27 19:58:54,FALSE,NA,"1453451158668857363",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Amb_Ogunsola",10,TRUE,FALSE,NA,NA
"23","RT @globalwetlands: 🔴 LIVE Session 3 #CWTC21
Welcome @ResearchLina our keynote speaker presenting ""Seagrass ecosystem services.""

Watch the…",FALSE,0,NA,2021-10-27 19:55:11,FALSE,NA,"1453450221027876864",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ConnollyLab",10,TRUE,FALSE,NA,NA
"24","RT @bluecology: Coastal wetlands don’t get enough attention in the international policy arena – think #SGDs #CBD – but why? 

We looked at…",FALSE,0,NA,2021-10-27 19:47:12,FALSE,NA,"1453448213747228674",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RLosciale",20,TRUE,FALSE,NA,NA
"25","RT @CexyNature: Species diversity, their functional attributes &amp; traits underpins ecosystem functioning. However, we often assess ecosystem…",FALSE,0,NA,2021-10-27 19:38:05,FALSE,NA,"1453445918523486209",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlyssaGiffin",12,TRUE,FALSE,NA,NA
"26","RT @oceangriffiths: #Seagrass ecosystems are facing widespread decline

Turbidity from coastal development is one of the biggest threats to…",FALSE,0,NA,2021-10-27 19:35:18,FALSE,NA,"1453445218330685441",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Nomi60807820",13,TRUE,FALSE,NA,NA
"27","RT @jdunic: #Seagrasses are important coastal ecosystems that are increasingly threatened by human activities

We need to know where and wh…",FALSE,0,NA,2021-10-27 19:31:00,FALSE,NA,"1453444135579439112",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LuciRoddriguez",20,TRUE,FALSE,NA,NA
