"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1453281564570312715","https://twitter.com/globalwetlands/status/1453281564570312715","Join Radhika Bhargava, PhD Candidate, National University of Singapore presenting next at #CWTC21 

👉Click here: @radb06 https://t.co/UYHr2N7N3J","2021-10-27 08:45 +0000","389.0","21.0","0.05398457583547558","3.0","0.0","8.0","8.0","0.0","1.0","0.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1453279047610363904","https://twitter.com/globalwetlands/status/1453279047610363904","Join Sophie Russell, Masters by Research Candidate, University of Adelaide, presenting next at #CWTC21 

👉Click here: @sophkaterussell https://t.co/lP4lwn5hzz","2021-10-27 08:35 +0000","162.0","25.0","0.15432098765432098","1.0","0.0","8.0","16.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1453276858955534345","https://twitter.com/globalwetlands/status/1453276858955534345","Join Amrit Kumar Mishra, Postdoc Researcher, Indian Institute of Technology Bhubaneswar presenting now for #CWTC21!

➡️Click here: @SeagrasEcology https://t.co/vZQ3VOxWoG","2021-10-27 08:26 +0000","227.0","24.0","0.10572687224669604","1.0","0.0","8.0","9.0","0.0","0.0","3.0","0.0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1453276531254509572","https://twitter.com/globalwetlands/status/1453276531254509572","Join Yota Harda, Post Doctorate, Japan Agency for Marine-Earth Science and Technology presenting next at #CWTC21 

👉Click here: @haradaoceans https://t.co/LRkLtTDVjR","2021-10-27 08:25 +0000","155.0","22.0","0.14193548387096774","1.0","0.0","6.0","11.0","0.0","2.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1453271498458759168","https://twitter.com/globalwetlands/status/1453271498458759168","Join Save Our Mangroves Now! presenting next at #CWTC21 

👉Click here: @MangrovesNow https://t.co/wLXz82XTvl","2021-10-27 08:05 +0000","200.0","29.0","0.145","2.0","0.0","6.0","10.0","0.0","1.0","6.0","0.0","0","0","0","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1453271278417293328","https://twitter.com/globalwetlands/status/1453271278417293328","@ResearchLina Read more about seagrass ecosystem services:
➡️https://t.co/cuwiSZheCD

➡️https://t.co/92iSgcgoOi","2021-10-27 08:04 +0000","102.0","16.0","0.1568627450980392","2.0","0.0","4.0","0.0","7.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1453270243594280960","https://twitter.com/globalwetlands/status/1453270243594280960","🔴 LIVE Session 3 #CWTC21
Welcome @ResearchLina our keynote speaker presenting ""Seagrass ecosystem services.""

Watch the presentation on YouTube:
https://t.co/LtRIvoLnR2 

Leave Q's or comments below⬇️","2021-10-27 08:00 +0000","714.0","96.0","0.13445378151260504","10.0","2.0","12.0","11.0","13.0","0.0","34.0","0.0","2","0","0","0","0","12","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1453268981306077186","https://twitter.com/globalwetlands/status/1453268981306077186","🔴 LIVE

Welcome 🙂 to Session 3, the final session of #CWTC21! 

Over the next 3 hours you can follow this Coastal Wetlands Twitter Conference session via @globalwetlands or https://t.co/SlpTw32DsD

Make sure you say hi and let us know where you are from in the comments below ⬇️ https://t.co/iGTiAKdW8K","2021-10-27 07:55 +0000","934.0","29.0","0.031049250535331904","3.0","1.0","5.0","5.0","5.0","4.0","0.0","0.0","0","0","0","0","0","153","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1453122132037148678","https://twitter.com/globalwetlands/status/1453122132037148678","@SieversSci started the second session of #CWTC21 with a keynote presentation, you can watch it below.

 Session 3 (last session!) will start at 9.00am BST 27 Oct / 18.00pm AEST 27 Oct. https://t.co/gLKSZd968O","2021-10-26 22:11 +0000","131.0","8.0","0.061068702290076333","0.0","0.0","3.0","3.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1453119249916968960","https://twitter.com/globalwetlands/status/1453119249916968960","👏Thanks for being part of #CWTC21 Session 2 &amp; thanks to our keynote presenter @SieversSci!

⏰ We look forward to our last session starting
9.00am BST &amp; 18.00pm AEST Wed 27 Oct.

🚨See the conference program for Session 3 at: https://t.co/QKsQfY2qJ2","2021-10-26 22:00 +0000","181.0","16.0","0.08839779005524862","0.0","0.0","8.0","3.0","2.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
